"competition_id","season_id","country_name","competition_name","competition_gender","competition_youth","competition_international","season_name","match_updated","match_updated_360","match_available_360","match_available"
9,281,"Germany","1. Bundesliga","male",FALSE,FALSE,"2023/2024","2024-07-15T14:15:54.671676","2024-07-15T14:17:00.877356","2024-07-15T14:17:00.877356","2024-07-15T14:15:54.671676"
9,27,"Germany","1. Bundesliga","male",FALSE,FALSE,"2015/2016","2024-05-19T11:11:14.192381",NA,NA,"2024-05-19T11:11:14.192381"
1267,107,"Africa","African Cup of Nations","male",FALSE,TRUE,"2023","2024-06-13T07:51:02.452825",NA,NA,"2024-06-13T07:51:02.452825"
16,4,"Europe","Champions League","male",FALSE,FALSE,"2018/2019","2024-06-12T07:44:38.559714","2021-06-13T16:17:31.694",NA,"2024-06-12T07:44:38.559714"
16,1,"Europe","Champions League","male",FALSE,FALSE,"2017/2018","2024-02-13T02:35:28.134882","2021-06-13T16:17:31.694",NA,"2024-02-13T02:35:28.134882"
16,2,"Europe","Champions League","male",FALSE,FALSE,"2016/2017","2024-02-13T02:37:32.205154","2021-06-13T16:17:31.694",NA,"2024-02-13T02:37:32.205154"
16,27,"Europe","Champions League","male",FALSE,FALSE,"2015/2016","2024-06-12T07:45:38.786894","2021-06-13T16:17:31.694",NA,"2024-06-12T07:45:38.786894"
16,26,"Europe","Champions League","male",FALSE,FALSE,"2014/2015","2024-02-12T12:49:54.914228","2021-06-13T16:17:31.694",NA,"2024-02-12T12:49:54.914228"
16,25,"Europe","Champions League","male",FALSE,FALSE,"2013/2014","2024-02-12T12:48:48.479157","2021-06-13T16:17:31.694",NA,"2024-02-12T12:48:48.479157"
16,24,"Europe","Champions League","male",FALSE,FALSE,"2012/2013","2024-02-12T12:47:34.340413","2021-06-13T16:17:31.694",NA,"2024-02-12T12:47:34.340413"
16,23,"Europe","Champions League","male",FALSE,FALSE,"2011/2012","2024-02-13T02:36:35.698340","2021-06-13T16:17:31.694",NA,"2024-02-13T02:36:35.698340"
16,22,"Europe","Champions League","male",FALSE,FALSE,"2010/2011","2024-02-12T12:53:03.944320","2021-06-13T16:17:31.694",NA,"2024-02-12T12:53:03.944320"
16,21,"Europe","Champions League","male",FALSE,FALSE,"2009/2010","2024-02-12T12:49:25.017694","2021-06-13T16:17:31.694",NA,"2024-02-12T12:49:25.017694"
16,41,"Europe","Champions League","male",FALSE,FALSE,"2008/2009","2024-02-13T07:02:54.657056","2021-06-13T16:17:31.694",NA,"2024-02-13T07:02:54.657056"
16,39,"Europe","Champions League","male",FALSE,FALSE,"2006/2007","2024-02-12T13:48:23.967222","2021-06-13T16:17:31.694",NA,"2024-02-12T13:48:23.967222"
16,37,"Europe","Champions League","male",FALSE,FALSE,"2004/2005","2024-02-12T13:09:19.665986","2021-06-13T16:17:31.694",NA,"2024-02-12T13:09:19.665986"
16,44,"Europe","Champions League","male",FALSE,FALSE,"2003/2004","2024-02-12T13:51:22.366380","2021-06-13T16:17:31.694",NA,"2024-02-12T13:51:22.366380"
16,76,"Europe","Champions League","male",FALSE,FALSE,"1999/2000","2020-07-29T05:00","2021-06-13T16:17:31.694",NA,"2020-07-29T05:00"
16,277,"Europe","Champions League","male",FALSE,FALSE,"1972/1973","2024-02-13T14:25:16.532771",NA,NA,"2024-02-13T14:25:16.532771"
16,71,"Europe","Champions League","male",FALSE,FALSE,"1971/1972","2024-02-12T14:25:01.735880","2021-06-13T16:17:31.694",NA,"2024-02-12T14:25:01.735880"
16,276,"Europe","Champions League","male",FALSE,FALSE,"1970/1971","2024-02-13T14:24:12.213582",NA,NA,"2024-02-13T14:24:12.213582"
223,282,"South America","Copa America","male",FALSE,TRUE,"2024","2024-07-15T18:00:33.653673",NA,NA,"2024-07-15T18:00:33.653673"
87,84,"Spain","Copa del Rey","male",FALSE,FALSE,"1983/1984","2024-02-13T01:54:12.946985","2021-06-13T16:17:31.694",NA,"2024-02-13T01:54:12.946985"
87,268,"Spain","Copa del Rey","male",FALSE,FALSE,"1982/1983","2024-02-13T14:19:57.954551",NA,NA,"2024-02-13T14:19:57.954551"
87,279,"Spain","Copa del Rey","male",FALSE,FALSE,"1977/1978","2024-02-13T14:26:19.978418",NA,NA,"2024-02-13T14:26:19.978418"
37,90,"England","FA Women's Super League","female",FALSE,FALSE,"2020/2021","2023-02-25T14:52:09.326729","2021-06-13T16:17:31.694",NA,"2023-02-25T14:52:09.326729"
37,42,"England","FA Women's Super League","female",FALSE,FALSE,"2019/2020","2024-02-12T15:05:34.211400","2021-06-13T16:17:31.694",NA,"2024-02-12T15:05:34.211400"
37,4,"England","FA Women's Super League","female",FALSE,FALSE,"2018/2019","2024-06-12T07:41:45.347457","2021-06-13T16:17:31.694",NA,"2024-06-12T07:41:45.347457"
1470,274,"International","FIFA U20 World Cup","male",FALSE,FALSE,"1979","2024-02-13T14:20:59.825440",NA,NA,"2024-02-13T14:20:59.825440"
43,106,"International","FIFA World Cup","male",FALSE,TRUE,"2022","2024-05-15T10:23:32.854925","2024-06-11T11:30:50.462448","2024-06-11T11:30:50.462448","2024-05-15T10:23:32.854925"
43,3,"International","FIFA World Cup","male",FALSE,TRUE,"2018","2024-06-12T07:38:19.345758","2021-06-13T16:17:31.694",NA,"2024-06-12T07:38:19.345758"
43,55,"International","FIFA World Cup","male",FALSE,TRUE,"1990","2023-06-28T10:58:20.137929","2021-06-12T16:17:31.694",NA,"2023-06-28T10:58:20.137929"
43,54,"International","FIFA World Cup","male",FALSE,TRUE,"1986","2023-12-26T22:34:04.263530","2021-06-13T16:17:31.694",NA,"2023-12-26T22:34:04.263530"
43,51,"International","FIFA World Cup","male",FALSE,TRUE,"1974","2024-02-13T02:52:29.582599","2021-06-13T16:17:31.694",NA,"2024-02-13T02:52:29.582599"
43,272,"International","FIFA World Cup","male",FALSE,TRUE,"1970","2024-02-13T14:23:06.735299",NA,NA,"2024-02-13T14:23:06.735299"
43,270,"International","FIFA World Cup","male",FALSE,TRUE,"1962","2023-06-26T10:38:00.323984",NA,NA,"2023-06-26T10:38:00.323984"
43,269,"International","FIFA World Cup","male",FALSE,TRUE,"1958","2024-02-13T14:22:08.222297",NA,NA,"2024-02-13T14:22:08.222297"
1238,108,"India","Indian Super league","male",FALSE,FALSE,"2021/2022","2024-02-12T17:41:31.729787",NA,NA,"2024-02-12T17:41:31.729787"
11,90,"Spain","La Liga","male",FALSE,FALSE,"2020/2021","2024-07-15T15:15:28.367546","2024-07-15T15:17:45.455234","2024-07-15T15:17:45.455234","2024-07-15T15:15:28.367546"
11,42,"Spain","La Liga","male",FALSE,FALSE,"2019/2020","2024-07-12T16:27:54.561817","2021-06-13T16:17:31.694",NA,"2024-07-12T16:27:54.561817"
11,4,"Spain","La Liga","male",FALSE,FALSE,"2018/2019","2024-06-12T07:42:36.910303","2021-07-09T14:53:22.103024",NA,"2024-06-12T07:42:36.910303"
11,1,"Spain","La Liga","male",FALSE,FALSE,"2017/2018","2024-06-12T07:32:43.196678","2021-06-13T16:17:31.694",NA,"2024-06-12T07:32:43.196678"
11,2,"Spain","La Liga","male",FALSE,FALSE,"2016/2017","2024-03-12T08:49:46.449084","2021-06-13T16:17:31.694",NA,"2024-03-12T08:49:46.449084"
11,27,"Spain","La Liga","male",FALSE,FALSE,"2015/2016","2024-05-16T14:06:52.149840","2021-06-13T16:17:31.694",NA,"2024-05-16T14:06:52.149840"
11,26,"Spain","La Liga","male",FALSE,FALSE,"2014/2015","2023-09-20T17:22:28.925900","2021-06-13T16:17:31.694",NA,"2023-09-20T17:22:28.925900"
11,25,"Spain","La Liga","male",FALSE,FALSE,"2013/2014","2022-07-23T12:18:49.547396","2021-06-13T16:17:31.694",NA,"2022-07-23T12:18:49.547396"
11,24,"Spain","La Liga","male",FALSE,FALSE,"2012/2013","2024-03-10T11:24:05.201066","2021-06-13T16:17:31.694",NA,"2024-03-10T11:24:05.201066"
11,23,"Spain","La Liga","male",FALSE,FALSE,"2011/2012","2022-12-01T14:10:17.791769","2021-06-13T16:17:31.694",NA,"2022-12-01T14:10:17.791769"
11,22,"Spain","La Liga","male",FALSE,FALSE,"2010/2011","2023-04-19T10:48:44.079830","2021-06-13T16:17:31.694",NA,"2023-04-19T10:48:44.079830"
11,21,"Spain","La Liga","male",FALSE,FALSE,"2009/2010","2023-11-29T10:55:10.039117","2021-06-13T16:17:31.694",NA,"2023-11-29T10:55:10.039117"
11,41,"Spain","La Liga","male",FALSE,FALSE,"2008/2009","2023-04-19T10:46:29.203565","2021-06-13T16:17:31.694",NA,"2023-04-19T10:46:29.203565"
11,40,"Spain","La Liga","male",FALSE,FALSE,"2007/2008","2023-04-19T10:42:35.284291","2021-06-13T16:17:31.694",NA,"2023-04-19T10:42:35.284291"
11,39,"Spain","La Liga","male",FALSE,FALSE,"2006/2007","2023-03-26T23:19:39.125951","2021-06-13T16:17:31.694",NA,"2023-03-26T23:19:39.125951"
11,38,"Spain","La Liga","male",FALSE,FALSE,"2005/2006","2022-07-03T12:34:31.749038","2021-06-13T16:17:31.694",NA,"2022-07-03T12:34:31.749038"
11,37,"Spain","La Liga","male",FALSE,FALSE,"2004/2005","2023-11-29T10:56:10.031508","2021-06-13T16:17:31.694",NA,"2023-11-29T10:56:10.031508"
11,278,"Spain","La Liga","male",FALSE,FALSE,"1973/1974","2023-07-06T12:50:48.807820",NA,NA,"2023-07-06T12:50:48.807820"
81,48,"Argentina","Liga Profesional","male",FALSE,FALSE,"1997/1998","2023-06-28T11:19:54.593488",NA,NA,"2023-06-28T11:19:54.593488"
81,275,"Argentina","Liga Profesional","male",FALSE,FALSE,"1981","2023-12-05T14:19:40.272816",NA,NA,"2023-12-05T14:19:40.272816"
7,235,"France","Ligue 1","male",FALSE,FALSE,"2022/2023","2024-06-11T00:50:53.277411","2024-06-26T08:17:36.043856","2024-06-26T08:17:36.043856","2024-06-11T00:50:53.277411"
7,108,"France","Ligue 1","male",FALSE,FALSE,"2021/2022","2024-06-03T16:46:00.665854","2024-06-03T16:49:55.355195","2024-06-03T16:49:55.355195","2024-06-03T16:46:00.665854"
7,27,"France","Ligue 1","male",FALSE,FALSE,"2015/2016","2024-01-07T06:23:44.277971",NA,NA,"2024-01-07T06:23:44.277971"
44,107,"United States of America","Major League Soccer","male",FALSE,FALSE,"2023","2024-07-14T18:53:28.735163","2024-07-14T18:58:42.974543","2024-07-14T18:58:42.974543","2024-07-14T18:53:28.735163"
116,68,"North and Central America","North American League","male",FALSE,FALSE,"1977","2024-02-12T14:20:24.769832","2021-06-13T16:17:31.694",NA,"2024-02-12T14:20:24.769832"
49,3,"United States of America","NWSL","female",FALSE,FALSE,"2018","2023-07-24T13:01:22.094587","2021-06-13T16:17:31.694",NA,"2023-07-24T13:01:22.094587"
2,27,"England","Premier League","male",FALSE,FALSE,"2015/2016","2024-06-12T07:43:56.243851","2021-06-13T16:17:31.694",NA,"2024-06-12T07:43:56.243851"
2,44,"England","Premier League","male",FALSE,FALSE,"2003/2004","2024-03-08T14:49:13.195793","2021-06-13T16:17:31.694",NA,"2024-03-08T14:49:13.195793"
12,27,"Italy","Serie A","male",FALSE,FALSE,"2015/2016","2024-06-25T23:56:11.910924",NA,NA,"2024-06-25T23:56:11.910924"
12,86,"Italy","Serie A","male",FALSE,FALSE,"1986/1987","2023-06-18T01:55:53.343752",NA,NA,"2023-06-18T01:55:53.343752"
55,282,"Europe","UEFA Euro","male",FALSE,TRUE,"2024","2024-07-15T15:48:50.315500","2024-07-15T15:52:24.778809","2024-07-15T15:52:24.778809","2024-07-15T15:48:50.315500"
55,43,"Europe","UEFA Euro","male",FALSE,TRUE,"2020","2024-04-16T12:44:40.558402","2024-04-16T12:47:18.505110","2024-04-16T12:47:18.505110","2024-04-16T12:44:40.558402"
